Rank,Player,Position,Team
1,Justin Jefferson,WR,MIN
2,Christian McCaffrey,RB,SF
3,Ja'Marr Chase,WR,CIN
4,Austin Ekeler,RB,LAC
5,Nick Chubb,RB,CLE
6,Cooper Kupp,WR,LAR
7,Travis Kelce,TE,KC
8,Saquon Barkley,RB,NYG
9,Tyreek Hill,WR,MIA
10,CeeDee Lamb,WR,DAL
11,Jonathan Taylor,RB,IND
12,Stefon Diggs,WR,BUF
13,Bijan Robinson,RB,ATL
14,A.J. Brown,WR,PHI
15,Tony Pollard,RB,DAL
16,Jaylen Waddle,WR,MIA
17,Amon-Ra St. Brown,WR,DET
18,Garrett Wilson,WR,NYJ
19,Najee Harris,RB,PIT
20,Derrick Henry,RB,TEN
21,Rhamondre Stevenson,RB,NE
22,Davante Adams,WR,LV
23,Josh Jacobs,RB,LV
24,Chris Olave,WR,NO
25,Patrick Mahomes,QB,KC
26,Amari Cooper,WR,CLE
27,Mark Andrews,TE,BAL
28,Joe Mixon,RB,CIN
29,Tee Higgins,WR,CIN
30,DeVonta Smith,WR,PHI
31,Jalen Hurts,QB,PHI
32,Aaron Jones,RB,GB
33,DK Metcalf,WR,SEA
34,Keenan Allen,WR,LAC
35,Kenneth Walker,RB,SEA
36,Travis Etienne Jr.,RB,JAX
37,Terry McLaurin,WR,WAS
38,Josh Allen,QB,BUF
39,T.J. Hockenson,TE,MIN
40,Miles Sanders,RB,CAR
41,Brandon Aiyuk,WR,SF
42,Alvin Kamara,RB,NO
43,Jahmyr Gibbs,RB,DET
44,DeAndre Hopkins,WR,TEN
45,Tyler Lockett,WR,SEA
46,Lamar Jackson,QB,BAL
47,Calvin Ridley,WR,JAX
48,JK Dobbins,RB,BAL
49,James Conner,RB,AZ
50,Chris Godwin,WR,TB
51,Cam Akers,RB,LAR
52,Justin Herbert,QB,LAC
53,Deebo Samuel,WR,SF
54,Jerry Jeudy,WR,DEN
55,Dallas Goedert,TE,PHI
56,Christian Kirk,WR,JAX
57,Alexander Mattison,RB,MIN
58,Rachaad White,RB,TB
59,Mike Evans,WR,TB
60,Javonte Williams,RB,DEN
61,D.J. Moore,WR,CHI
62,Darren Waller,TE,NYG
63,Breece Hall,RB,NYJ
64,Christian Watson,WR,GB
65,Justin Fields,QB,CHI
66,AJ Dillon,RB,GB
67,Drake London,WR,ATL
68,James Cook,RB,BUF
69,Kyle Pitts,TE,ATL
70,Rashaad Penny,RB,PHI
71,Diontae Johnson,WR,PIT
72,Joe Burrow,QB,CIN
73,Dameon Pierce,RB,HOU
74,George Kittle,TE,SF
75,Michael Pittman Jr.,WR,IND
76,Mike Williams,WR,LAC
77,Brandin Cooks,WR,DAL
78,Isiah Pacheco,RB,KC
79,Jahan Dotson,WR,WAS
80,Evan Engram,TE,JAX
81,Dalvin Cook,RB,NYJ
82,Trevor Lawrence,QB,JAX
83,Khalil Herbert,RB,CHI
84,Courtland Sutton,WR,DEN
85,D'Andre Swift,RB,PHI
86,Raheem Mostert,RB,MIA
87,Jaxon Smith-Njigba,WR,SEA
88,George Pickens,WR,PIT
89,Brian Robinson Jr.,RB,WAS
90,Marquise Brown,WR,AZ
91,Dak Prescott,QB,DAL
92,David Montgomery,RB,DET
93,Jerick McKinnon,RB,KC
94,Pat Freiermuth,TE,PIT
95,Jordan Addison,WR,MIN
96,Devin Singletary,RB,HOU
97,Gabe Davis,WR,BUF
98,De'Von Achane,RB,MIA
99,JuJu Smith-Schuster,WR,NE
100,Deshaun Watson,QB,CLE
